,mmlu/abstract_algebra,mmlu/anatomy,mmlu/astronomy,mmlu/business_ethics,mmlu/clinical_knowledge,mmlu/college_biology,mmlu/college_chemistry,mmlu/college_computer_science,mmlu/college_mathematics,mmlu/college_medicine,mmlu/college_physics,mmlu/computer_security,mmlu/conceptual_physics,mmlu/econometrics,mmlu/electrical_engineering,mmlu/elementary_mathematics,mmlu/formal_logic,mmlu/global_facts,mmlu/high_school_biology,mmlu/high_school_chemistry,mmlu/high_school_computer_science,mmlu/high_school_european_history,mmlu/high_school_geography,mmlu/high_school_government_and_politics,mmlu/high_school_macroeconomics,mmlu/high_school_mathematics,mmlu/high_school_microeconomics,mmlu/high_school_physics,mmlu/high_school_psychology,mmlu/high_school_statistics,mmlu/high_school_us_history,mmlu/high_school_world_history,mmlu/human_aging,mmlu/human_sexuality,mmlu/international_law,mmlu/jurisprudence,mmlu/logical_fallacies,mmlu/machine_learning,mmlu/management,mmlu/marketing,mmlu/medical_genetics,mmlu/miscellaneous,mmlu/moral_disputes,mmlu/moral_scenarios,mmlu/nutrition,mmlu/philosophy,mmlu/prehistory,mmlu/professional_accounting,mmlu/professional_law,mmlu/professional_medicine,mmlu/professional_psychology,mmlu/public_relations,mmlu/security_studies,mmlu/sociology,mmlu/us_foreign_policy,mmlu/virology,mmlu/world_religions,open_llm/IFEval,open_llm/BBH,open_llm/MATH_Lvl5,open_llm/GPQA,open_llm/MUSR,open_llm/MMLU-PRO,helm/GSM8K,helm/LegalBench,helm/MATH,helm/MMLU,helm/Mean win rate,helm/MedQA,helm/NarrativeQA,helm/NaturalQuestions (closed-book),helm/NaturalQuestions (open-book),helm/OpenbookQA,helm/WMT 2014,alpaca_eval/win_rate,alpaca_eval/discrete_win_rate,alpaca_eval/length_controlled_winrate,arena_hard/score,livebench/coding,livebench/instruction_following,livebench/language,wildbench/Advice seeking,wildbench/Brainstorming,wildbench/Coding & Debugging,wildbench/Creative Writing,wildbench/Data Analysis,wildbench/Editing,wildbench/Information seeking,wildbench/Math,wildbench/Planning,wildbench/Reasoning,wildbench/Role playing,mt_bench/coding,mt_bench/extraction,mt_bench/humanities,mt_bench/math,mt_bench/reasoning,mt_bench/roleplay,mt_bench/stem,mt_bench/writing,bigcode/Computation_complete,bigcode/Computation_instruct,bigcode/Cryptography_complete,bigcode/Cryptography_instruct,bigcode/General_complete,bigcode/General_instruct,bigcode/Network_complete,bigcode/Network_instruct,bigcode/System_complete,bigcode/System_instruct,bigcode/Time_complete,bigcode/Time_instruct,bigcode/Visualization_complete,bigcode/Visualization_instruct
gemma-2b-it,0.28,0.3851851851851852,0.3355263157894737,0.48,0.4226415094339623,0.3402777777777778,0.26,0.31,0.26,0.3583815028901734,0.1862745098039215,0.45,0.3531914893617021,0.2807017543859649,0.4620689655172413,0.2486772486772486,0.2539682539682539,0.3,0.3161290322580645,0.2906403940886699,0.37,0.4606060606060606,0.4595959595959596,0.4766839378238341,0.3282051282051282,0.2,0.3403361344537815,0.2582781456953642,0.5100917431192661,0.2037037037037037,0.4264705882352941,0.5189873417721519,0.3901345291479821,0.4274809160305343,0.5206611570247934,0.4629629629629629,0.3619631901840491,0.3303571428571428,0.4466019417475728,0.594017094017094,0.39,0.4623243933588761,0.407514450867052,0.2525139664804469,0.4509803921568627,0.4019292604501607,0.4074074074074074,0.3049645390070922,0.3187744458930899,0.2022058823529411,0.3823529411764705,0.4181818181818181,0.473469387755102,0.4378109452736318,0.64,0.4096385542168674,0.4385964912280701,0.210720887245841,0.3122721749696233,0.0203927492447129,0.2785234899328859,0.3333333333333333,0.1353058510638297,,,,,,,,,,,,3.4019714381366457,2.857142857142857,5.437453620377121,3.0,,,,10.0,1.904761904761898,-17.725118483412317,7.7500000000000036,-9.037037037037036,8.943089430894311,-5.688073394495419,-31.304347826086953,2.611940298507456,-6.9941060903732755,4.285714285714288,,,,,,,,,,,,,,,,,,,,,,
gemma-7b-it,0.32,0.4888888888888889,0.5460526315789473,0.5,0.5547169811320755,0.5625,0.43,0.42,0.37,0.4335260115606936,0.3039215686274509,0.69,0.4765957446808511,0.3771929824561403,0.5172413793103449,0.3597883597883597,0.3253968253968254,0.38,0.6225806451612903,0.4039408866995074,0.59,0.6363636363636364,0.696969696969697,0.7098445595854922,0.4923076923076923,0.2925925925925925,0.542016806722689,0.3377483443708609,0.7192660550458716,0.3287037037037037,0.6470588235294118,0.6877637130801688,0.6860986547085202,0.6335877862595419,0.7272727272727273,0.6574074074074074,0.588957055214724,0.4821428571428571,0.6699029126213593,0.8034188034188035,0.6,0.6998722860791826,0.6069364161849711,0.2547486033519553,0.5849673202614379,0.6109324758842444,0.5740740740740741,0.351063829787234,0.3898305084745763,0.4411764705882353,0.4934640522875817,0.6636363636363637,0.6163265306122448,0.7412935323383084,0.71,0.4879518072289157,0.6666666666666666,,0.362089914945322,0.0294561933534743,,,,,,,,,,,,,,,6.937294379677018,6.273291925465839,10.425760403690134,7.47,,,,22.35294117647058,22.142857142857135,1.8009478672985857,22.40663900414937,4.592592592592588,19.349593495934965,9.785932721712545,-16.049382716049383,18.43866171003718,8.29745596868884,16.190476190476186,,,,,,,,,,,,,,,,,,,,,,
GPT-3.5-Turbo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.622453295105588,8.881987577639752,18.09324155198033,,,,,,,,,,,,,,,,6.9,8.85,9.55,6.3,5.65,8.4,8.7,9.2,,,,,,,,,,,,,,
gpt-3.5-turbo-0125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.34,0.28125,0.7451923076923077,0.2470928214865092,46.05042016806722,41.66666666666666,26.54028436018958,36.51452282157676,30.370370370370363,37.096774193548384,34.067278287461775,13.456790123456788,33.234200743494426,33.776908023483365,37.38095238095237,,,,,,,,,53.4,39.3,43.4,44.4,52.8,44.0,27.1,23.6,45.3,35.1,44.1,31.6,46.4,34.3
gpt-3.5-turbo-0613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.501,0.5283293461368486,0.6667095586312232,0.614,0.506896551724138,0.6222664015904572,0.6545452493962763,0.334590535421788,0.6775232576261939,0.838,0.1874826961367359,14.09579857390062,12.670807453416147,22.35251298054288,24.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gpt-3.5-turbo-1106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.177964561962735,8.198757763975156,19.30058903498905,18.87,0.2734375,0.5128205128205129,0.2924174421076917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPT-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.576789314782605,22.732919254658384,38.12808974440021,,,,,,,,,,,,,,,,8.55,9.375,9.95,6.8,9.0,8.9,9.7,9.65,,,,,,,,,,,,,,
gpt-4-0125-preview,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.96,0.421875,0.6470394736842104,0.4003365219249942,57.98319327731093,61.42857142857142,52.924528301886795,58.25726141078839,51.99999999999999,55.483870967741936,53.455657492354746,39.50617283950617,55.53903345724906,52.83757338551859,55.23809523809524,,,,,,,,,,,,,,,,,,,,,,
gpt-4-0314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.073258928708075,21.73913043478261,35.30706121640206,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gpt-4-0613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.932,0.7127682635939792,0.8024156744474984,0.734842105263158,0.9620689655172414,0.8151093439363817,0.7677791724251858,0.4568767355321626,0.7896684683368644,0.96,0.2105112381667833,15.75503808763975,14.782608695652174,30.18332231673423,37.9,0.3671875,0.717948717948718,0.4985597115178286,,,,,,,,,,,,,,,,,,,,58.5,44.2,56.6,53.5,60.9,51.7,30.7,20.7,50.9,45.1,47.1,33.8,52.8,40.6
gpt-4-1106-preview,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.668,0.6259516326823287,0.856862689420829,0.6990877192982456,0.8344827586206897,0.8170974155069582,0.7270706981870464,0.4347059651218755,0.7629015365855754,0.95,0.2046724434962053,50.0,50.0,50.0,,0.4609375,0.7708333333333334,0.4857621350359472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gpt-4-turbo-2024-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.11526538763708,46.52173913043478,55.01530093647852,82.63,0.4921875,0.6835526315789474,0.4448125414177384,61.84873949579831,59.28571428571429,55.071090047393355,59.25311203319502,55.82089552238806,55.96774193548388,55.90214067278288,46.2962962962963,56.6542750929368,56.360078277886494,60.95238095238095,,,,,,,,,59.4,46.3,55.6,52.5,62.3,52.2,42.9,36.4,49.5,46.2,52.2,41.2,55.8,42.1
gpt-4o-2024-05-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.32757578249279,53.72670807453416,57.45682883335095,79.21,0.5,0.6958333333333333,0.512048206103748,61.84873949579831,62.38095238095237,60.47393364928912,58.921161825726145,58.656716417910445,55.96774193548388,57.92048929663608,55.18518518518519,61.41263940520446,59.96078431372549,56.9047619047619,,,,,,,,,63.6,50.9,56.6,61.6,63.2,57.1,34.3,30.0,52.1,46.0,53.7,40.4,59.9,47.2
gpt-4o-2024-11-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4609375,0.7012061403508771,0.4901941171292318,,,,,,,,,,,,,,,,,,,,61.0,47.3,51.5,46.5,62.6,55.0,33.6,23.6,49.3,41.4,54.4,44.9,59.1,45.9
gpt-4o-mini-2024-07-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.65413862507926,43.72670807453416,50.727144855901976,74.94,0.4296875,0.6580043859649123,0.3289693930538648,61.008403361344534,61.19047619047621,57.16981132075471,60.08298755186722,56.74074074074074,58.064516129032256,56.63608562691131,50.37037037037037,58.51301115241636,57.92563600782779,61.66666666666668,,,,,,,,,59.4,45.7,59.6,45.5,60.8,51.1,27.1,23.6,49.8,43.0,47.1,40.4,57.1,42.4
llama-2-13b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3401109057301293,0.3317132442284325,0.0135951661631419,0.2315436241610738,0.3994708994708995,0.1923204787234042,0.266,0.5910030736631379,0.1021091538227401,0.5054035087719299,0.3482758620689655,0.3916500994035785,0.7407788701111923,0.3706060978348202,0.639984600932008,0.634,0.1672658654262144,7.702309957875775,7.515527950310559,8.436014548885215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
llama-2-70b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4436229205175601,0.3022044783891685,0.0294561933534743,0.2642617449664429,0.3677248677248677,0.2432679521276596,0.567,0.6726994442119312,0.3227945385228126,0.5804561403508772,0.6586206896551724,0.6182902584493042,0.7631713198687995,0.4595602930170799,0.6739523507154374,0.838,0.1958759839526068,13.88825834374378,12.935323383084576,14.689648588392544,11.55,,,,43.72881355932204,43.80952380952381,9.333333333333336,40.82987551867219,16.969696969696972,37.5609756097561,36.932515337423325,-11.055900621118012,33.656716417910445,24.921259842519685,39.04761904761905,,,,,,,,,,,,,,,,,,,,,,
Llama-2-70b-chat-hf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4436229205175601,0.3022044783891685,0.0294561933534743,0.2642617449664429,0.3677248677248677,0.2432679521276596,,,,,,,,,,,,13.88825834374378,12.935323383084576,14.689648588392544,11.55,,,,43.72881355932204,43.80952380952381,9.333333333333336,40.82987551867219,16.969696969696972,37.5609756097561,36.932515337423325,-11.055900621118012,33.656716417910445,24.921259842519685,39.04761904761905,,,,,,,,,,,,,,,,,,,,,,
llama-2-7b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3308687615526802,0.3086269744835966,0.0196374622356495,0.2533557046979866,0.3664021164021164,0.1687998670212765,0.154,0.5015588886580016,0.0970726109648998,0.4249122807017543,0.2172413793103448,0.3916500994035785,0.685621004977857,0.3326316375326806,0.61174518010822,0.544,0.1439403405773131,4.961339547167702,4.782608695652174,5.354821279508294,,0.0,,,37.62711864406781,32.38095238095237,-6.794258373205739,29.12863070539419,8.33333333333334,28.85245901639344,25.644171779141107,-24.5,21.94029850746269,14.161735700197244,28.809523809523817,,,,,,,,,,,,,,,,,,,,,,
Llama-2-7b-chat-hf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3308687615526802,0.3086269744835966,0.0196374622356495,0.2533557046979866,0.3664021164021164,0.1687998670212765,,,,,,,,,,,,4.961339547167702,4.782608695652174,5.354821279508294,,0.015625,0.4503205128205128,0.0659321009031795,37.62711864406781,32.38095238095237,-6.794258373205739,29.12863070539419,8.33333333333334,28.85245901639344,25.644171779141107,-24.5,21.94029850746269,14.161735700197244,28.809523809523817,,,,,,,,,,,,,,,,,,,,,,
Llama-3-Instruct-8B-SimPO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5933456561922366,0.4825551119597292,0.0861027190332326,0.2936241610738255,0.3941798941798942,0.3489029255319149,,,,,,,,,,,,40.52977498461182,39.68944099378882,44.65131348921881,,,,,56.80672268907563,52.85714285714286,31.75355450236967,51.78423236514522,35.97014925373134,46.61290322580646,45.87155963302752,11.604938271604937,47.06319702602231,38.82583170254403,50.95238095238095,,,,,,,,,,,,,,,,,,,,,,
Llama-3-Instruct-8B-SimPO-ExPO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5841035120147874,0.4749175490366256,0.0702416918429003,0.2869127516778523,0.3915343915343915,0.340093085106383,,,,,,,,,,,,40.63285400856655,40.43478260869565,45.78021783946177,,,,,53.94957983193278,53.33333333333334,28.584905660377355,48.54771784232366,34.37037037037037,45.322580645161295,45.4434250764526,8.198757763975149,44.90706319702602,37.72549019607844,51.42857142857142,,,,,,,,,,,,,,,,,,,,,,
llama-3.1-nemotron-70b-instruct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6931608133086876,0.6304461031070995,0.4267371601208459,0.2583892617449664,0.4312169312169312,0.4918550531914893,,,,,,,,,,,,,,,,,0.5285,0.2566666666666666,,,,,,,,,,,,,,,,,,,,51.1,39.1,42.4,44.4,49.2,40.3,25.7,24.3,38.6,36.4,39.7,27.2,50.8,37.3
llama-3.3-70b-instruct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8798521256931608,0.6915466064919285,0.4833836858006042,0.3288590604026846,0.4444444444444444,0.5331615691489362,,,,,,,,,,,,,,,,0.3671875,0.782,0.4263273720350951,,,,,,,,,,,,,,,,,,,,59.4,46.3,56.6,53.5,59.2,49.1,31.4,30.0,49.8,44.1,48.5,41.9,53.8,43.1
llama-4-maverick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5111111111111111,0.7958333333333333,0.4721618835640245,,,,,,,,,,,,,,,,,,,,61.6,49.4,64.6,59.6,65.9,53.8,40.7,26.4,53.8,44.2,50.0,49.3,59.6,45.4
Meta-Llama-3-70B-Instruct,0.51,0.7703703703703704,0.9342105263157896,0.86,0.8679245283018868,0.9097222222222222,0.56,0.69,0.58,0.815028901734104,0.5980392156862745,0.82,0.8170212765957446,0.7280701754385965,0.7793103448275862,0.708994708994709,0.626984126984127,0.59,0.896774193548387,0.6896551724137931,0.92,0.8666666666666667,0.9292929292929292,0.9844559585492229,0.8384615384615385,0.5444444444444444,0.8865546218487395,0.6225165562913907,0.9412844036697248,0.7361111111111112,0.9215686274509804,0.9282700421940928,0.820627802690583,0.8702290076335878,0.9256198347107438,0.8796296296296297,0.8588957055214724,0.7053571428571429,0.8932038834951457,0.935897435897436,0.92,0.9182630906768838,0.8439306358381503,0.7083798882681565,0.8758169934640523,0.8135048231511254,0.9012345679012346,0.6382978723404256,0.6414602346805737,0.8897058823529411,0.8529411764705882,0.7454545454545455,0.8163265306122449,0.9203980099502488,0.92,0.5662650602409639,0.9005847953216374,0.7744916820702403,0.6524908869987849,0.2447129909365558,0.2869127516778523,0.414021164021164,0.5206948138297872,,,,,,,,,,,,33.17785695886864,33.16770186335404,34.42459717459881,46.57,0.2421875,0.7900641025641026,0.3431767870881306,56.30252100840336,55.71428571428571,44.71698113207546,54.416666666666664,49.333333333333336,52.41935483870968,51.25382262996942,34.93827160493828,51.67286245353161,49.510763209393346,56.42857142857142,,,,,,,,,56.0,41.9,51.5,47.5,55.1,46.2,27.1,22.1,49.7,43.0,46.3,37.5,53.8,40.4
Meta-Llama-3-8B-Instruct,0.32,0.6518518518518519,0.7039473684210527,0.69,0.7471698113207547,0.7986111111111112,0.47,0.59,0.39,0.6358381502890174,0.5,0.77,0.6042553191489362,0.6052631578947368,0.6275862068965518,0.4444444444444444,0.4841269841269841,0.4,0.7838709677419354,0.5073891625615764,0.75,0.7454545454545455,0.8434343434343434,0.911917098445596,0.658974358974359,0.4,0.7647058823529411,0.4437086092715231,0.8366972477064221,0.5370370370370371,0.8578431372549019,0.8438818565400844,0.7219730941704036,0.7786259541984732,0.8181818181818182,0.7777777777777778,0.7668711656441718,0.5446428571428571,0.7864077669902912,0.905982905982906,0.8,0.7982120051085568,0.7485549132947977,0.4368715083798882,0.7450980392156863,0.7138263665594855,0.7407407407407407,0.5283687943262412,0.4784876140808344,0.7169117647058824,0.7058823529411765,0.6454545454545455,0.7387755102040816,0.8656716417910447,0.86,0.5120481927710844,0.7777777777777778,0.4085027726432532,0.4891511890296823,0.0913897280966767,0.2927852348993288,0.3796296296296296,0.359125664893617,,,,,,,,,,,,22.56990260931677,22.049689440993788,22.91878467313347,20.56,0.2109375,0.6378205128205128,0.1892565276220461,45.54621848739495,45.23809523809524,21.9811320754717,42.98755186721992,29.037037037037035,43.87096774193548,37.37003058103976,3.8509316770186257,40.743494423791816,32.39215686274509,42.38095238095237,,,,,,,,,35.7,29.9,48.5,37.4,41.0,34.2,22.1,17.9,35.8,32.9,27.2,28.7,31.2,24.9
Meta-Llama-3.1-405B-Instruct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.10666895419877,38.07453416149068,39.25732749961743,64.09,0.4375,0.7772435897435896,0.5002445398707682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meta-Llama-3.1-70B-Instruct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8428835489833642,0.6915466064919285,0.3806646525679758,0.3565436241610738,0.4563492063492063,0.5309175531914894,,,,,,,,,,,,39.12691443804968,38.19875776397515,38.05512453607286,55.73,0.328125,0.8669871794871795,0.4257282240035689,,,,,,,,,,,,,,,,,,,,56.7,45.5,60.6,57.6,53.8,47.3,31.4,28.6,49.5,43.9,46.3,36.8,53.6,44.9
Meta-Llama-3.1-8B-Instruct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4195933456561922,0.5077243534108662,0.1555891238670695,0.3154362416107382,0.3968253968253968,0.3798204787234042,,,,,,,,,,,,21.841523410839937,21.07231920199501,20.85398744758185,21.34,0.21875,0.5384615384615384,0.202667075651031,,,,,,,,,,,,,,,,,,,,39.3,32.4,49.5,35.4,43.3,34.2,31.4,21.4,39.7,32.2,37.5,30.9,33.2,29.9
Mistral-7B-Instruct-v0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.377,0.5802532274633645,0.2973668020179648,0.5835087719298246,0.4379310344827586,0.5248508946322068,0.7164233362865015,0.3669918973279171,0.6869664212545938,0.776,0.1604456237859723,,,,12.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mistral-7B-Instruct-v0.2,0.32,0.5703703703703704,0.625,0.6,0.6716981132075471,0.6944444444444444,0.4,0.53,0.39,0.5895953757225434,0.4215686274509804,0.69,0.5319148936170213,0.4035087719298245,0.6137931034482759,0.3677248677248677,0.4206349206349206,0.35,0.632258064516129,0.5123152709359606,0.65,0.7393939393939394,0.7626262626262627,0.8549222797927462,0.5564102564102564,0.3,0.6554621848739496,0.3576158940397351,0.7908256880733945,0.4444444444444444,0.7647058823529411,0.7552742616033755,0.6188340807174888,0.7404580152671756,0.8099173553719008,0.7407407407407407,0.7300613496932515,0.4464285714285714,0.7572815533980582,0.8632478632478633,0.67,0.7803320561941252,0.6965317919075145,0.311731843575419,0.6862745098039216,0.7041800643086816,0.7006172839506173,0.450354609929078,0.4348109517601043,0.6176470588235294,0.630718954248366,0.7090909090909091,0.7061224489795919,0.7313432835820896,0.81,0.4939759036144578,0.8362573099415205,0.5009242144177449,0.4452352022218365,0.0302114803625377,0.276006711409396,0.3955026455026455,0.2716921542553192,,,,,,,,,,,,14.722772657714286,14.09937888198758,17.111251846021165,,0.15625,0.6282051282051282,0.0877312136173269,48.57142857142858,44.28571428571429,18.396226415094343,42.65560165975104,23.703703703703702,36.09756097560975,37.66871165644172,-5.061728395061724,36.95167286245352,28.039215686274517,41.9047619047619,,,,,,,,,,,,,,,,,,,,,,
Mistral-7B-Instruct-v0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4935304990757855,0.4700572817219233,0.0385196374622356,0.2793624161073825,0.373015873015873,0.3075132978723404,,,,,,,,,,,,16.693179605176876,14.96894409937888,20.61004837179779,,0.125,0.530448717948718,0.115999601515157,,,,,,,,,,,,,,,,,,,,27.0,17.5,29.3,22.2,28.4,21.9,10.7,11.4,26.2,20.3,26.5,18.4,24.6,16.0
mistral-large-2402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.43877598137888,20.6832298136646,32.65207998531868,37.71,0.28125,0.71,0.2837580696098924,52.43697478991596,50.476190476190474,33.74407582938389,49.95850622406639,38.50746268656715,47.25806451612904,44.58715596330275,22.484472049689437,43.13432835820896,41.611001964636536,49.28571428571429,,,,,,,,,37.8,29.4,44.4,31.3,37.7,31.3,23.6,17.9,36.7,28.7,25.0,22.1,32.2,29.4
mistral-large-2407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.42,0.46875,0.6677777777777778,0.368077893078421,61.5126050420168,63.0952380952381,53.83886255924171,58.34024896265561,55.52238805970149,54.79674796747968,56.391437308868504,48.69565217391305,57.4721189591078,57.33333333333333,58.57142857142858,,,,,,,,,,,,,,,,,,,,,,
mistral-medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.855772543652176,20.496894409937887,28.614337401726104,31.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mistral-Nemo-Instruct-2407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2890625,0.6233333333333334,0.139733753887754,57.47899159663865,56.42857142857142,39.71563981042655,53.44398340248963,45.77777777777777,50.96774193548388,50.76452599388379,25.18518518518519,51.449814126394045,46.06653620352251,53.0952380952381,,,,,,,,,,,,,,,,,,,,,,
mistral-small-2402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21875,0.642,0.1921908781814667,,,,,,,,,,,,,,,,,,,,40.4,31.4,43.4,31.3,42.3,34.5,24.3,23.6,41.1,28.0,37.5,25.7,35.0,29.4
mistral-small-2409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5767097966728281,0.5814962680090262,0.2039274924471299,0.3330536912751677,0.4060846560846561,0.409906914893617,,,,,,,,,,,,,,,,0.265625,0.4611666666666666,0.2778273989481635,,,,,,,,,,,,,,,,,,,,46.8,35.5,50.5,37.4,48.1,38.4,26.4,19.3,45.3,34.8,30.1,27.9,39.8,30.7
mistral-small-2501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3515625,0.6506666666666666,0.3511417802669478,,,,,,,,,,,,,,,,,,,,48.8,44.0,49.5,55.6,55.1,48.6,27.1,24.3,48.8,45.5,40.4,39.7,48.7,39.8
Mixtral-8x22B-Instruct-v0.1,0.54,0.7481481481481481,0.8618421052631579,0.77,0.8226415094339623,0.8958333333333334,0.56,0.7,0.49,0.7630057803468208,0.5784313725490197,0.81,0.7914893617021277,0.631578947368421,0.7586206896551724,0.6243386243386243,0.5952380952380952,0.54,0.9,0.6945812807881774,0.86,0.8545454545454545,0.8939393939393939,0.9689119170984456,0.8128205128205128,0.5074074074074074,0.8781512605042017,0.5033112582781457,0.926605504587156,0.6944444444444444,0.8970588235294118,0.9156118143459916,0.8026905829596412,0.8854961832061069,0.9008264462809916,0.8611111111111112,0.8711656441717791,0.6160714285714286,0.8737864077669902,0.9273504273504274,0.84,0.8991060025542784,0.846820809248555,0.6603351955307263,0.8790849673202614,0.8263665594855305,0.8703703703703703,0.6631205673758865,0.6029986962190352,0.8860294117647058,0.8398692810457516,0.7727272727272727,0.8448979591836735,0.9154228855721394,0.96,0.5903614457831325,0.9064327485380116,0.6765249537892791,0.6110050338482902,0.1873111782477341,0.3733221476510067,0.4298941798941799,0.4483045212765957,,,,,,,,,,,,22.21017054750302,21.801242236024844,30.878810294279383,36.36,0.3295454545454545,0.7419871794871795,0.2634992704883414,,,,,,,,,,,,,,,,,,,,48.5,39.2,52.5,41.4,50.6,44.2,35.7,27.9,49.5,40.6,48.5,31.6,47.7,36.8
